id,year,age,phase,total_assets_lakh,annual_expense_lakh,annual_income_lakh,net_change_lakh,notes
1,2023,37,Earning,66,12,,,Initial year
2,2024,38,Earning,72.26,12.72,,6.26,
3,2025,39,Earning,134.36,13.48,,62.10,
4,2026,40,Earning,170.06,14.29,,35.70,
5,2027,41,Earning,209.48,15.15,,39.42,
6,2028,42,Earning,253.02,16.06,,43.54,
7,2029,43,Earning,301.12,17.02,,48.10,
8,2030,44,Earning,354.28,18.04,,53.16,
9,2031,45,Earning,413.04,19.12,,58.76,
10,2032,46,Earning,478.03,20.27,,64.99,
11,2033,47,Earning,549.91,21.49,,71.88,
12,2034,48,Earning,629.45,22.78,,79.54,
13,2035,49,Earning,717.50,24.15,,88.05,
14,2036,50,Earning,814.99,25.60,,97.49,
15,2037,51,Earning,922.93,27.14,,107.94,
16,2038,52,Earning,1042.51,28.77,,119.58,
17,2039,53,Earning,1175.02,30.50,,132.51,
18,2040,54,Earning,1321.90,32.33,,146.88,
19,2041,55,Earning,1484.74,34.27,,162.84,
20,2042,56,Earning,1665.32,36.33,,180.58,
21,2043,57,Earning,1865.63,38.51,,200.31,
22,2044,58,Earning,2087.90,40.82,,222.27,
23,2045,59,Earning,2334.57,43.27,,246.67,
24,2046,60,Earning,2608.39,45.87,,273.82,
25,2047,61,Retirement,2764.89,49.08,,156.50,Retirement phase begins
26,2048,62,Retirement,2878.76,52.52,,113.87,
27,2049,63,Retirement,2995.81,56.20,,117.05,
28,2050,64,Retirement,3115.99,60.13,,120.18,
29,2051,65,Retirement,3239.21,64.34,,123.22,
30,2052,66,Retirement,3365.36,68.84,,126.15,
31,2053,67,Retirement,3494.31,73.66,,128.95,
32,2054,68,Retirement,3625.89,78.82,,131.58,
33,2055,69,Retirement,3759.89,84.34,,134.00,
34,2056,70,Retirement,3896.08,90.24,,136.19,
35,2057,71,Retirement,4034.19,96.56,,138.11,
36,2058,72,Retirement,4173.89,103.32,,139.70,
37,2059,73,Retirement,4314.80,110.55,,140.91,
38,2060,74,Retirement,4456.51,118.29,,141.71,
39,2061,75,Retirement,4598.51,126.57,,142.00,
40,2062,76,Retirement,4740.26,135.43,,141.75,
41,2063,77,Retirement,4881.12,144.91,,140.86,
42,2064,78,Retirement,5020.38,155.05,,139.26,
43,2065,79,Retirement,5157.25,165.90,,136.87,
44,2066,80,Late Retirement,5290.83,177.51,,133.58,Advanced age phase
45,2067,81,Late Retirement,5420.12,189.94,,129.29,
46,2068,82,Late Retirement,5543.99,203.24,,123.87,
47,2069,83,Late Retirement,5661.20,217.47,,117.21,
48,2070,84,Late Retirement,5770.35,232.69,,109.15,
49,2071,85,Late Retirement,5869.92,248.98,,99.57,
50,2072,86,Late Retirement,5958.20,266.41,,88.28,
51,2073,87,Late Retirement,6033.30,285.06,,75.10,
52,2074,88,Late Retirement,6093.13,305.01,,59.83,
53,2075,89,Late Retirement,6135.41,326.36,,42.28,
54,2076,90,Late Retirement,6157.59,349.21,,22.18,Peak assets
55,2077,91,Decline,6156.88,373.65,,-0.71,Decline begins
56,2078,92,Decline,6130.22,399.81,,-26.66,
57,2079,93,Decline,6074.23,427.80,,-55.99,
58,2080,94,Decline,5985.22,457.75,,-89.01,
59,2081,95,Decline,5859.12,489.79,,-126.10,
60,2082,96,Decline,5691.49,524.08,,-167.63,
61,2083,97,Decline,5477.45,560.77,,-214.04,
62,2084,98,Decline,5211.68,600.02,,-265.77,
63,2085,99,Decline,4888.36,642.02,,-323.32,
64,2086,100,Decline,4501.12,686.96,,-387.24,Centenarian
65,2087,101,Decline,4081.15,735.05,,-419.97,
66,2088,102,Decline,3580.33,786.50,,-500.82,
67,2089,103,Decline,2989.40,841.56,,-590.93,
68,2090,104,Decline,2298.19,900.47,,-691.21,
69,2091,105,Decline,1495.56,963.50,,-802.63,Final year projected
